"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Property crimes","12063700","12061900","11652000","10850500","10608500","11102600","11722700","12024700","12356900","12605400","12655500","12961116","12505917","12218777","12131873","12063935","11805323","11558475","10951827","10208334","10182584","10437189","10455277","10442862","10319386","10174754","10019601","9882212","9774152","9337060","9112625","9052743","9001992","8651892","8209010","8024115","7928530","7682988","7196045"
"    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Northeast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1174338","1170424",,,,,,,"872031","805435"
"        West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2126054","2076730",,,,,,,"2081184","1977420"
"        South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4096256","3939317",,,,,,,"3232483","3035624"
"        Midwest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1940412","1896416",,,,,,,"1497290","1377566"
"    By Offense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Larceny-theft","7136900","7194400","7142500","6712800","6591900","6926400","7257200","7499900","7705900","7872400","7945700","8142228","7915199","7820909","7879812","7997710","7904685","7743760","7376311","6955520","6971590","7092267","7057379","7026802","6937089","6783447","6626363","6591542","6586206","6338095","6204601","6151095","6168874","6019465","5809054","5723488","5644835","5513000","5217055"
"        Burglary","3795200","3779700","3447100","3129900","2984400","3073300","3241400","3236200","3218100","3168200","3073900","3157150","2979884","2834808","2712774","2593784","2506400","2460526","2332735","2100739","2050992","2116531","2151252","2154834","2144446","2155448","2194993","2190198","2228887","2203313","2168459","2185140","2109932","1932139","1713153","1587564","1516405","1397045","1230149"
"        Motor vehicle theft","1131700","1087800","1062400","1007900","1032200","1102900","1224100","1288700","1432900","1564800","1635900","1661738","1610834","1563060","1539287","1472441","1394238","1354189","1242781","1152075","1160002","1228391","1246646","1261226","1237851","1235859","1198245","1100472","959059","795652","739565","716508","723186","700288","686803","713063","767290","772943","748841"
"    By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Arizona",,,,,,,,,,,,,,,,,,,,"255401",,"293874",,,,,,,,"236721","225893",,,,,,,"204999","191974"
"        Alaska",,,,,,,,,,,,,,,,,,,,"23099",,"23160",,,,,,,,"20538","20259",,,,,,,"26203","24339"
"        Oregon",,,,,,,,,,,,,,,,,,,,"153434",,"164524",,,,,,,,"114780","115428",,,,,,,"122524","121278"
"        New Hampshire",,,,,,,,,,,,,,,,,,,,"26247",,"27089",,,,,,,,"28790","28782",,,,,,,"18550","16935"
"        Minnesota",,,,,,,,,,,,,,,,,,,,"158717",,"165046",,,,,,,,"139286","136431",,,,,,,"122430","111874"
"        Ohio",,,,,,,,,,,,,,,,,,,,"414264",,"435115",,,,,,,,"376446","374381",,,,,,,"280557","254496"
"        South Dakota",,,,,,,,,,,,,,,,,,,,"18159",,"16473",,,,,,,,"14378","15082",,,,,,,"16588","15251"
"        Nebraska",,,,,,,,,,,,,,,,,,,,"61277",,"68963",,,,,,,,"49731","48821",,,,,,,"43856","40126"
"        Georgia",,,,,,,,,,,,,,,,,,,,"359383",,"347872",,,,,,,,"360985","352679",,,,,,,"297651","270738"
"        California",,,,,,,,,,,,,,,,,,,,"1053285",,"1133702",,,,,,,,"1009433","981939",,,,,,,"987063","941618"
"        Connecticut",,,,,,,,,,,,,,,,,,,,"99894",,"95299",,,,,,,,"82625","78386",,,,,,,"63646","60055"
"        Michigan",,,,,,,,,,,,,,,,,,,,"369887",,"352353",,,,,,,,"284019","268201",,,,,,,"179839","165280"
"        District of Columbia",,,,,,,,,,,,,,,,,,,,"33420",,"34154",,,,,,,,"28495","28756",,,,,,,"29736","30724"
"        Wyoming",,,,,,,,,,,,,,,,,,,,"15468",,"16120",,,,,,,,"14243","13874",,,,,,,"10528","10313"
"        Utah",,,,,,,,,,,,,,,,,,,,"100130",,"90993",,,,,,,,"91751","87880",,,,,,,"86201","75156"
"        Virginia",,,,,,,,,,,,,,,,,,,,"210260",,"207506",,,,,,,,"194020","186196",,,,,,,"152515","141885"
"        Idaho",,,,,,,,,,,,,,,,,,,,"36363",,"38181",,,,,,,,"31220","31286",,,,,,,"28557","25636"
"        West Virginia",,,,,,,,,,,,,,,,,,,,"42825",,"41085",,,,,,,,"46215","41500",,,,,,,"32560","26827"
"        Mississippi",,,,,,,,,,,,,,,,,,,,"9671",,"109609",,,,,,,,"87327","88574",,,,,,,"82764","71766"
"        Montana",,,,,,,,,,,,,,,,,,,,"34114",,"30175",,,,,,,,"24826","25169",,,,,,,"27294","26518"
"        New Jersey",,,,,,,,,,,,,,,,,,,,"243333",,"240551",,,,,,,,"180752","183042",,,,,,,"140086","125156"
"        Tennessee",,,,,,,,,,,,,,,,,,,,"219302",,"252992",,,,,,,,"237157","232132",,,,,,,"198028","191279"
"        Nevada",,,,,,,,,,,,,,,,,,,,"73874",,"77486",,,,,,,,"80976","74932",,,,,,,"78320","73985"
"        Indiana",,,,,,,,,,,,,,,,,,,,"201547",,"211548",,,,,,,,"199907","197260",,,,,,,"158932","145838"
"        Kansas",,,,,,,,,,,,,,,,,,,,"107644",,"105537",,,,,,,,"90930","89015",,,,,,,"79387","76686"
"        Maryland",,,,,,,,,,,,,,,,,,,,"215973",,"219512",,,,,,,,"182295","173051",,,,,,,"134705","122864"
"        New York",,,,,,,,,,,,,,,,,,,,"489596",,"458003",,,,,,,,"377537","376161",,,,,,,"293390","281507"
"        Louisiana",,,,,,,,,,,,,,,,,,,,"219219",,"207693",,,,,,,,"172619","165357",,,,,,,"157272","152661"
"        Wisconsin",,,,,,,,,,,,,,,,,,,,"160154",,"166924",,,,,,,,"147692","142612",,,,,,,"104908","90686"
"        Texas",,,,,,,,,,,,,,,,,,,,"896261",,"976654",,,,,,,,"995082","951246",,,,,,,"723143","679430"
"        Colorado",,,,,,,,,,,,,,,,,,,,"13811",,"170887",,,,,,,,"134196","134992",,,,,,,"152032","152163"
"        Hawaii",,,,,,,,,,,,,,,,,,,,"54539",,"62830",,,,,,,,"47516","45083",,,,,,,"40392","40772"
"        Washington",,,,,,,,,,,,,,,,,,,,"280793",,"287234",,,,,,,,"245215","249253",,,,,,,"235206","222011"
"        North Dakota",,,,,,,,,,,,,,,,,,,,"14748",,"14834",,,,,,,,"12813","11895",,,,,,,"16653","15507"
"        Oklahoma",,,,,,,,,,,,,,,,,,,,"140220",,"141679",,,,,,,,"132350","128126",,,,,,,"113611","113364"
"        South Carolina",,,,,,,,,,,,,,,,,,,,"173987",,"163838",,,,,,,,"178310","180407",,,,,,,"160368","153421"
"        Vermont",,,,,,,,,,,,,,,,,,,,"16059",,"16334",,,,,,,,"15010","14281",,,,,,,"9339","8036"
"        Pennsylvania",,,,,,,,,,,,,,,,,,,,"67674",,"313408",,,,,,,,"277182","276023",,,,,,,"210316","190816"
"        Alabama",,,,,,,,,,,,,,,,,,,,"171398",,"173253",,,,,,,,"178007","168092",,,,,,,"143774","137700"
"        Maine",,,,,,,,,,,,,,,,,,,,"34618",,"33154",,,,,,,,"31706","32934",,,,,,,"20142","18173"
"        Illinois",,,,,,,,,,,,,,,,,,,,"457723",,"431990",,,,,,,,"353347","343989",,,,,,,"255108","246264"
"        Missouri",,,,,,,,,,,,,,,,,,,,"223010",,"238411",,,,,,,,"201783","200414",,,,,,,"173380","162173"
"        New Mexico",,,,,,,,,,,,,,,,,,,,"89220",,"83095",,,,,,,,"74639","70742",,,,,,,"81865","71657"
"        Kentucky",,,,,,,,,,,,,,,,,,,,"102095",,"109001",,,,,,,,"108914","110709",,,,,,,"95899","87695"
"        Florida",,,,,,,,,,,,,,,,,,,,"808674",,"782517",,,,,,,,"712010","669035",,,,,,,"527125","486017"
"        Arkansas",,,,,,,,,,,,,,,,,,,,"92283",,"99106",,,,,,,,"109078","103775",,,,,,,"94419","87793"
"        Iowa",,,,,,,,,,,,,,,,,,,,"84463",,"88634",,,,,,,,"70080","68315",,,,,,,"65652","53385"
"        Massachusetts",,,,,,,,,,,,,,,,,,,,"167437",,"167079",,,,,,,,"153178","153905",,,,,,,"97977","87196"
"        Delaware",,,,,,,,,,,,,,,,,,,,"30922",,"27399",,,,,,,,"29685","30963",,,,,,,"23430","22481"
"        Rhode Island",,,,,,,,,,,,,,,,,,,,"32657",,"35742",,,,,,,,"27558","26910",,,,,,,"18585","17561"
"        North Carolina",,,,,,,,,,,,,,,,,,,,"354497",,"363777",,,,,,,,"343707","328719",,,,,,,"265483","258979"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Federal Bureau of Investigation","Uniform Crime Reporting Program, Crime in the United States, Table 1","","https://ucr.fbi.gov/crime-in-the-u.s/2018/crime-in-the-u.s.-2018/topic-pages/tables/table-1",,"2019","Yearly "
"Exported on: 12/21/2020"
